Attendance_Hours,Final_Marks
36.217808319315374,58.997409164323955
76.55000144869413,71.59827893079657
61.23957592679836,72.52077721842899
51.90609389379256,69.00597567331539
20.921304830970556,53.25960465514048
20.919616423534187,55.86371183954021
14.065852851773961,51.202537198631504
70.63233020424546,77.61206549826493
52.078050822024615,65.68819685371906
59.56508044572318,61.47773555528164
11.440914600706172,47.86854839601602
77.8936896513396,79.98528326148535
68.27098485602951,75.49338661399162
24.86373774747933,46.04812599463812
22.72774770449704,45.958591150207205
22.83831568974037,56.6849221115347
31.29695700716764,55.45070273430054
46.73295021425665,66.77397859399144
40.2361513049481,60.259667533126354
30.386039813862933,55.341800604410196
52.829702630566565,71.10627034516327
19.76457024564293,47.3020614817346
30.45012539746527,55.705666583437555
35.645329030558415,55.511288071753995
41.92489889519251,58.78996831043468
64.96231729751095,70.93529803141227
23.977164751085184,53.09925123371116
45.996410688952814,60.604462236159016
51.46901982034297,72.01329053803909
13.25152889039984,42.1527279341024
52.528139633100686,65.32971159574355
21.936688658110405,48.76968903768432
14.553611508969567,54.51169517625345
76.42198760773333,79.19376768642455
77.59424231521916,83.95634385495275
66.58781436815228,65.86610531889129
31.322963842135948,56.996733250414266
16.83704798044687,52.86667796834062
57.89631185585098,69.3595758743026
40.81067456177209,65.7327391562128
18.542676439134517,46.684895969065394
44.66238370778891,69.37792905482235
12.407196478065288,57.698088857128894
73.65242814551475,75.01202127055909
28.114598712001182,51.82978674899673
56.37655990477874,75.45520233797787
31.819775326258767,63.807748391782944
46.40476148244676,60.58808060545704
48.26971955402958,62.033925691535494
22.93981188678689,50.06098289909091
77.8709239435191,72.21320941658817
64.25929763527802,67.53638908521802
75.76492590949324,72.86175912098628
72.63791452993541,72.47996943944706
51.85299851677596,65.75307482145408
74.53119645161817,78.43667188849169
16.194475143634364,55.849740035887564
23.718800369340165,46.867629980976126
13.165910223737665,51.504567104251755
32.7731231534285,55.31661735558671
37.20741027826374,58.356386590869704
28.994432224172712,57.87131357291938
68.01162564063506,68.39220271250603
34.97273286855125,59.39841516519588
29.665415678116652,55.66496888012361
47.988725821077395,66.45661923057945
19.864695748233387,51.378191093655786
66.15378865278278,85.35339502594587
15.218545057583958,44.4205726075354
79.08208556203621,76.88605800600902
64.05713385076602,68.91286429325919
23.91009770739207,49.177663257894764
10.386548198652168,42.006338462793494
